year,Hong Kong,United Arab Emirates,Seychelles,Montenegro,Thailand
2015,2.290400888730405,2.0074243299155907,1.5842601612091758,1.623379232639888,1.465266143473711
2016,2.398931385110269,2.212521470630779,1.6054585591009431,1.671211612349611,1.6995473128266239
2017,2.4887734675106854,2.1834311539896802,1.742432937199378,1.6710236465913528,1.7207770656863766
2018,2.670209054558141,2.1990840650758208,1.8498997540356752,1.8160574838443204,1.7574000107580998
2019,2.8636502883629245,2.127738798785061,1.9871959026888604,1.8487913727356324,1.82308341379325
